PID,Date,AID,Adj Close,qty_chg
S03,2014-03-03,BRK-B,116.059998,0.0
S03,2014-03-04,BRK-B,118.57,0.0
S03,2014-03-05,BRK-B,118.980003,0.0
S03,2014-03-06,BRK-B,121.199997,0.0
S03,2014-03-07,BRK-B,122.669998,0.0
S03,2014-03-10,BRK-B,124.099998,0.0
S03,2014-03-11,BRK-B,124.690002,0.0
S03,2014-03-12,BRK-B,125.169998,0.0
S03,2014-03-13,BRK-B,123.610001,0.0
S03,2014-03-14,BRK-B,122.510002,0.0
S03,2014-03-17,BRK-B,123.360001,0.0
S03,2014-03-18,BRK-B,123.279999,0.0
S03,2014-03-19,BRK-B,122.620003,0.0
S03,2014-03-20,BRK-B,124.440002,0.0
S03,2014-03-21,BRK-B,125.199997,0.0
S03,2014-03-24,BRK-B,124.32,0.0
S03,2014-03-25,BRK-B,124.470001,0.0
S03,2014-03-26,BRK-B,123.010002,0.0
S03,2014-03-27,BRK-B,123.470001,0.0
S03,2014-03-28,BRK-B,123.529999,0.0
S03,2014-03-31,BRK-B,124.970001,0.0
S03,2014-04-01,BRK-B,124.879997,8.007687572253865
S03,2014-04-02,BRK-B,124.470001,0.0
S03,2014-04-03,BRK-B,124.309998,0.0
S03,2014-04-04,BRK-B,123.900002,0.0
S03,2014-04-07,BRK-B,123.120003,0.0
S03,2014-04-08,BRK-B,123.129997,0.0
S03,2014-04-09,BRK-B,124.010002,0.0
S03,2014-04-10,BRK-B,122.269997,0.0
S03,2014-04-11,BRK-B,121.699997,0.0
S03,2014-04-14,BRK-B,122.290001,0.0
S03,2014-04-15,BRK-B,123.769997,0.0
S03,2014-04-16,BRK-B,126.0,0.0
S03,2014-04-17,BRK-B,127.18,0.0
S03,2014-04-21,BRK-B,126.5,0.0
S03,2014-04-22,BRK-B,127.150002,0.0
S03,2014-04-23,BRK-B,127.199997,0.0
S03,2014-04-24,BRK-B,126.949997,0.0
S03,2014-04-25,BRK-B,127.260002,0.0
S03,2014-04-28,BRK-B,127.699997,0.0
S03,2014-04-29,BRK-B,128.490005,0.0
S03,2014-04-30,BRK-B,128.850006,0.0
S03,2014-05-01,BRK-B,129.059998,0.0
S03,2014-05-02,BRK-B,128.089996,0.0
S03,2014-05-05,BRK-B,126.610001,0.0
S03,2014-05-06,BRK-B,124.669998,0.0
S03,2014-05-07,BRK-B,127.449997,0.0
S03,2014-05-08,BRK-B,126.669998,0.0
S03,2014-05-09,BRK-B,127.339996,0.0
S03,2014-05-12,BRK-B,127.290001,0.0
S03,2014-05-13,BRK-B,127.889999,0.0
S03,2014-05-14,BRK-B,127.529999,0.0
S03,2014-05-15,BRK-B,126.360001,0.0
S03,2014-05-16,BRK-B,126.860001,0.0
S03,2014-05-19,BRK-B,127.129997,0.0
S03,2014-05-20,BRK-B,126.059998,0.0
S03,2014-05-21,BRK-B,126.660004,0.0
S03,2014-05-22,BRK-B,126.980003,0.0
S03,2014-05-23,BRK-B,126.800003,0.0
S03,2014-05-27,BRK-B,127.519997,0.0
S03,2014-05-28,BRK-B,127.459999,0.0
S03,2014-05-29,BRK-B,128.110001,0.0
S03,2014-05-30,BRK-B,128.339996,0.0
S03,2014-06-02,BRK-B,127.879997,0.0
S03,2014-06-03,BRK-B,126.93,0.0
S03,2014-06-04,BRK-B,127.230003,0.0
S03,2014-06-05,BRK-B,128.199997,0.0
S03,2014-06-06,BRK-B,128.649994,0.0
S03,2014-06-09,BRK-B,127.989998,0.0
S03,2014-06-10,BRK-B,128.25,0.0
S03,2014-06-11,BRK-B,128.220001,0.0
S03,2014-06-12,BRK-B,127.279999,0.0
S03,2014-06-13,BRK-B,126.540001,0.0
S03,2014-06-16,BRK-B,126.150002,0.0
S03,2014-06-17,BRK-B,126.029999,0.0
S03,2014-06-18,BRK-B,127.169998,0.0
S03,2014-06-19,BRK-B,127.25,0.0
S03,2014-06-20,BRK-B,126.739998,0.0
S03,2014-06-23,BRK-B,126.669998,0.0
S03,2014-06-24,BRK-B,126.779999,0.0
S03,2014-06-25,BRK-B,127.129997,0.0
S03,2014-06-26,BRK-B,127.099998,0.0
S03,2014-06-27,BRK-B,127.32,0.0
S03,2014-06-30,BRK-B,126.559998,0.0
S03,2014-07-01,BRK-B,127.239998,0.0
S03,2014-07-02,BRK-B,127.730003,0.0
S03,2014-07-03,BRK-B,129.300003,0.0
S03,2014-07-07,BRK-B,128.699997,0.0
S03,2014-07-08,BRK-B,128.220001,0.0
S03,2014-07-09,BRK-B,128.75,0.0
S03,2014-07-10,BRK-B,128.449997,0.0
S03,2014-07-11,BRK-B,128.630005,0.0
S03,2014-07-14,BRK-B,128.979996,0.0
S03,2014-07-15,BRK-B,128.490005,0.0
S03,2014-07-16,BRK-B,128.110001,0.0
S03,2014-07-17,BRK-B,126.519997,0.0
S03,2014-07-18,BRK-B,128.279999,0.0
S03,2014-07-21,BRK-B,128.580002,0.0
S03,2014-07-22,BRK-B,128.419998,0.0
S03,2014-07-23,BRK-B,128.130005,0.0
S03,2014-07-24,BRK-B,128.350006,0.0
S03,2014-07-25,BRK-B,127.550003,0.0
S03,2014-07-28,BRK-B,128.369995,0.0
S03,2014-07-29,BRK-B,127.360001,0.0
S03,2014-07-30,BRK-B,127.739998,0.0
S03,2014-07-31,BRK-B,125.43,0.0
S03,2014-08-01,BRK-B,125.830002,0.0
S03,2014-08-04,BRK-B,129.720001,0.0
S03,2014-08-05,BRK-B,127.989998,0.0
S03,2014-08-06,BRK-B,129.110001,0.0
S03,2014-08-07,BRK-B,128.949997,0.0
S03,2014-08-08,BRK-B,130.899994,0.0
S03,2014-08-11,BRK-B,131.949997,0.0
S03,2014-08-12,BRK-B,133.059998,0.0
S03,2014-08-13,BRK-B,133.080002,0.0
S03,2014-08-14,BRK-B,135.300003,0.0
S03,2014-08-15,BRK-B,134.339996,0.0
S03,2014-08-18,BRK-B,135.029999,0.0
S03,2014-08-19,BRK-B,134.899994,0.0
S03,2014-08-20,BRK-B,134.910004,0.0
S03,2014-08-21,BRK-B,136.809998,0.0
S03,2014-08-22,BRK-B,135.75,0.0
S03,2014-08-25,BRK-B,136.229996,0.0
S03,2014-08-26,BRK-B,136.25,0.0
S03,2014-08-27,BRK-B,136.520004,0.0
S03,2014-08-28,BRK-B,136.110001,0.0
S03,2014-08-29,BRK-B,137.25,0.0
S03,2014-09-02,BRK-B,137.96000700000002,0.0
S03,2014-09-03,BRK-B,137.729996,0.0
S03,2014-09-04,BRK-B,137.949997,0.0
S03,2014-09-05,BRK-B,138.070007,0.0
S03,2014-09-08,BRK-B,138.279999,0.0
S03,2014-09-09,BRK-B,136.889999,0.0
S03,2014-09-10,BRK-B,137.720001,0.0
S03,2014-09-11,BRK-B,137.919998,0.0
S03,2014-09-12,BRK-B,137.089996,0.0
S03,2014-09-15,BRK-B,138.03999299999998,0.0
S03,2014-09-16,BRK-B,138.690002,0.0
S03,2014-09-17,BRK-B,139.610001,0.0
S03,2014-09-18,BRK-B,141.279999,0.0
S03,2014-09-19,BRK-B,140.559998,0.0
S03,2014-09-22,BRK-B,139.259995,0.0
S03,2014-09-23,BRK-B,138.779999,0.0
S03,2014-09-24,BRK-B,139.949997,0.0
S03,2014-09-25,BRK-B,137.089996,0.0
S03,2014-09-26,BRK-B,138.679993,0.0
S03,2014-09-29,BRK-B,138.330002,0.0
S03,2014-09-30,BRK-B,138.139999,0.0
S03,2014-10-01,BRK-B,136.619995,0.0
S03,2014-10-02,BRK-B,137.639999,0.0
S03,2014-10-03,BRK-B,139.5,0.0
S03,2014-10-06,BRK-B,139.160004,0.0
S03,2014-10-07,BRK-B,136.720001,0.0
S03,2014-10-08,BRK-B,139.940002,0.0
S03,2014-10-09,BRK-B,137.089996,0.0
S03,2014-10-10,BRK-B,136.759995,0.0
S03,2014-10-13,BRK-B,136.380005,0.0
S03,2014-10-14,BRK-B,137.389999,0.0
S03,2014-10-15,BRK-B,135.639999,0.0
S03,2014-10-16,BRK-B,134.699997,0.0
S03,2014-10-17,BRK-B,137.089996,0.0
S03,2014-10-20,BRK-B,137.229996,0.0
S03,2014-10-21,BRK-B,138.970001,0.0
S03,2014-10-22,BRK-B,137.649994,0.0
S03,2014-10-23,BRK-B,138.679993,0.0
S03,2014-10-24,BRK-B,139.399994,0.0
S03,2014-10-27,BRK-B,139.529999,0.0
S03,2014-10-28,BRK-B,140.46000700000002,0.0
