PID,AID,Date,mv,cost
Port1,BABA,2014-09-19,0.0,0.0
Port1,BABA,2014-09-22,0.0,0.0
Port1,BABA,2014-09-23,0.0,0.0
Port1,BABA,2014-09-24,0.0,0.0
Port1,BABA,2014-09-25,0.0,0.0
Port1,BABA,2014-09-26,0.0,0.0
Port1,BABA,2014-09-29,0.0,0.0
Port1,BABA,2014-09-30,0.0,0.0
Port1,BABA,2014-10-01,1000.0,1000.0
Port1,BABA,2014-10-02,1011.1498260429692,1000.0
Port1,BABA,2014-10-03,1023.2288042561861,1000.0
Port1,BABA,2014-10-06,1025.6678287030852,1000.0
Port1,BABA,2014-10-07,1018.2346113411056,1000.0
Port1,BABA,2014-10-08,1025.5517427538152,1000.0
Port1,BABA,2014-10-09,1031.2427765677764,1000.0
Port1,BABA,2014-10-10,997.4448199174175,1000.0
Port1,BABA,2014-10-13,988.6179439864793,1000.0
Port1,BABA,2014-10-14,986.6434259382908,1000.0
Port1,BABA,2014-10-15,994.1927989359534,1000.0
Port1,BABA,2014-10-16,1031.9396058522555,1000.0
Port1,BABA,2014-10-17,1021.022137538261,1000.0
Port1,BABA,2014-10-20,1025.0871550542893,1000.0
Port1,BABA,2014-10-21,1055.7491766724547,1000.0
Port1,BABA,2014-10-22,1064.2276321539516,1000.0
Port1,BABA,2014-10-23,1096.980246155174,1000.0
Port1,BABA,2014-10-24,1112.1951710149865,1000.0
Port1,BABA,2014-10-27,1135.7723957206128,1000.0
Port1,BABA,2014-10-28,1157.7236041283068,1000.0
Port1,BABA,2014-10-29,1141.811849984015,1000.0
Port1,BABA,2014-10-30,1146.6899569498246,1000.0
Port1,BABA,2014-10-31,1145.180026601162,1000.0
Port1,BABA,2014-11-03,1182.3461714830698,1000.0
Port1,BABA,2014-11-04,1231.9396337268206,1000.0
Port1,BABA,2014-11-05,1262.1370560310581,1000.0
Port1,BABA,2014-11-06,1295.818845431332,1000.0
Port1,BABA,2014-11-07,1330.5458845655255,1000.0
Port1,BABA,2014-11-10,1383.856036791081,1000.0
Port1,BABA,2014-11-11,1330.3136313661705,1000.0
Port1,BABA,2014-11-12,1372.822296697382,1000.0
Port1,BABA,2014-11-13,1333.7978939325874,1000.0
Port1,BABA,2014-11-14,1336.817661714696,1000.0
Port1,BABA,2014-11-17,1326.9454431346212,1000.0
Port1,BABA,2014-11-18,1286.991876585177,1000.0
Port1,BABA,2014-11-19,1263.8792395790765,1000.0
Port1,BABA,2014-11-20,1275.4936417071692,1000.0
Port1,BABA,2014-11-21,1286.0627824869405,1000.0
Port1,BABA,2014-11-24,1323.1126672035464,1000.0
Port1,BABA,2014-11-25,1317.8862210891107,1000.0
Port1,BABA,2014-11-26,1308.59466454343,1000.0
Port1,BABA,2014-11-28,1296.6318419658965,1000.0
Port1,BABA,2014-12-01,2231.010458327769,2000.0
Port1,BABA,2014-12-02,2313.102572514701,2000.0
Port1,BABA,2014-12-03,2328.8895135027165,2000.0
Port1,BABA,2014-12-04,2297.947088116953,2000.0
Port1,BABA,2014-12-05,2271.2146189075993,2000.0
Port1,BABA,2014-12-08,2211.6451861476467,2000.0
Port1,BABA,2014-12-09,2262.373953003565,2000.0
Port1,BABA,2014-12-10,2186.596509965565,2000.0
Port1,BABA,2014-12-11,2209.5402817318327,2000.0
Port1,BABA,2014-12-12,2212.4871773829286,2000.0
Port1,BABA,2014-12-15,2203.8568987791286,2000.0
Port1,BABA,2014-12-16,2226.3796012553635,2000.0
Port1,BABA,2014-12-17,2294.789678870095,2000.0
Port1,BABA,2014-12-18,2299.631070587517,2000.0
Port1,BABA,2014-12-19,2329.1000691969875,2000.0
Port1,BABA,2014-12-22,2289.5273652074234,2000.0
Port1,BABA,2014-12-23,2221.117287592692,2000.0
Port1,BABA,2014-12-24,2230.168467092487,2000.0
Port1,BABA,2014-12-26,2230.168467092487,2000.0
Port1,BABA,2014-12-29,2230.8000710275355,2000.0
Port1,BABA,2014-12-30,2225.9586793101134,2000.0
Port1,BABA,2014-12-31,2187.8595704908803,2000.0
Port1,BABA,2015-01-02,2180.702739712628,2000.0
Port1,BABA,2015-01-05,2125.974719719352,2000.0
Port1,BABA,2015-01-06,2174.8089905089446,2000.0
Port1,BABA,2015-01-07,2149.760314326864,2000.0
Port1,BABA,2015-01-08,2210.8031949123647,2000.0
Port1,BABA,2015-01-09,2168.494150965975,2000.0
Port1,BABA,2015-01-12,2139.0253207505416,2000.0
Port1,BABA,2015-01-13,2121.1333280019307,2000.0
Port1,BABA,2015-01-14,2096.084820213886,2000.0
Port1,BABA,2015-01-15,2027.253673309122,2000.0
Port1,BABA,2015-01-16,2039.4622620557752,2000.0
Port1,BABA,2015-01-20,2105.7674563039473,2000.0
Port1,BABA,2015-01-21,2174.1775339186797,2000.0
Port1,BABA,2015-01-22,2189.122483671412,2000.0
Port1,BABA,2015-01-23,2170.3886680815554,2000.0
Port1,BABA,2015-01-26,2188.911949026396,2000.0
Port1,BABA,2015-01-27,2166.8103158401937,2000.0
Port1,BABA,2015-01-28,2072.2990572123367,2000.0
Port1,BABA,2015-01-29,1890.4335180796588,2000.0
Port1,BABA,2015-01-30,1875.0676463816767,2000.0
Port1,BABA,2015-02-02,1897.169258518624,2000.0
Port1,BABA,2015-02-03,1907.2729849479722,2000.0
Port1,BABA,2015-02-04,1894.4329185617987,2000.0
Port1,BABA,2015-02-05,1831.2851546097388,2000.0
Port1,BABA,2015-02-06,1803.5001384708328,2000.0
Port1,BABA,2015-02-09,1810.2358999590522,2000.0
Port1,BABA,2015-02-10,1836.7580029174267,2000.0
Port1,BABA,2015-02-11,1810.2358999590522,2000.0
Port1,BABA,2015-02-12,1833.390037976298,2000.0
Port1,BABA,2015-02-13,1874.4361897914105,2000.0
Port1,BABA,2015-02-17,1828.1277243136265,2000.0
Port1,BABA,2015-02-18,1825.8123063020512,2000.0
Port1,BABA,2015-02-19,1828.9697155489087,2000.0
Port1,BABA,2015-02-20,1823.7074018862368,2000.0
Port1,BABA,2015-02-23,1799.0798160434426,2000.0
Port1,BABA,2015-02-24,1782.6614184651621,2000.0
Port1,BABA,2015-02-25,1814.235300441192,2000.0
Port1,BABA,2015-02-26,1796.9749326768833,2000.0
Port1,BABA,2015-02-27,1791.7126190142114,2000.0
Port1,BABA,2015-03-02,1768.1373906576791,2000.0
Port1,BABA,2015-03-03,1717.1982365015272,2000.0
Port1,BABA,2015-03-04,1799.5007379886927,2000.0
Port1,BABA,2015-03-05,1812.3407833256115,2000.0
Port1,BABA,2015-03-06,1776.5571346164627,2000.0
Port1,BABA,2015-03-09,1737.194965271915,2000.0
Port1,BABA,2015-03-10,1746.456679416726,2000.0
Port1,BABA,2015-03-11,1725.8283467112894,2000.0
Port1,BABA,2015-03-12,1724.3548988857406,2000.0
Port1,BABA,2015-03-13,1723.0920067544641,2000.0
Port1,BABA,2015-03-16,1768.1373906576791,2000.0
Port1,BABA,2015-03-17,1778.6620179830222,2000.0
Port1,BABA,2015-03-18,1780.556366704565,2000.0
Port1,BABA,2015-03-19,1804.7630516513645,2000.0
Port1,BABA,2015-03-20,1793.3964330907388,2000.0
Port1,BABA,2015-03-23,1773.3997043203506,2000.0
Port1,BABA,2015-03-24,1760.3491032891611,2000.0
Port1,BABA,2015-03-25,1762.8750769950072,2000.0
Port1,BABA,2015-03-26,1771.7157218497855,2000.0
Port1,BABA,2015-03-27,1780.3460004535868,2000.0
Port1,BABA,2015-03-30,1766.0325072911194,2000.0
Port1,BABA,2015-03-31,1752.1399150246475,2000.0
Port1,BABA,2015-04-01,2733.616634079808,3000.0
Port1,BABA,2015-04-02,2730.961282024146,3000.0
Port1,BABA,2015-04-06,2715.693422592477,3000.0
Port1,BABA,2015-04-07,2728.637907059816,3000.0
Port1,BABA,2015-04-08,2834.185512582232,3000.0
