Date,AAPL,AMZN,AYX,BABA,CRM,FB,GOOGL,MSFT,S02,TEAM
2014-03-03,,,,,,,,,,
2014-03-04,,,,,,,,,,
2014-03-05,,,,,,,,,,
2014-03-06,,,,,,,,,,
2014-03-07,,,,,,,,,,
2014-03-10,,,,,,,,,,
2014-03-11,,,,,,,,,,
2014-03-12,,,,,,,,,,
2014-03-13,,,,,,,,,,
2014-03-14,,,,,,,,,,
2014-03-17,,,,,,,,,,
2014-03-18,,,,,,,,,,
2014-03-19,,,,,,,,,,
2014-03-20,,,,,,,,,,
2014-03-21,,,,,,,,,,
2014-03-24,,,,,,,,,,
2014-03-25,,,,,,,,,,
2014-03-26,,,,,,,,,,
2014-03-27,,,,,,,,,,
2014-03-28,,,,,,,,,,
2014-03-31,,,,,,,,,,
2014-04-01,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,
2014-04-02,1.0016617008748727,0.9969969998249804,,,0.9889456290637013,1.0015969658511175,1.0001850362579727,0.9983101337102259,0.9979494109304786,
2014-04-03,0.9947202074743176,0.9726814330645627,,,0.9479592338088304,0.9500160164486748,1.0061389440030424,0.9901012541110891,0.976936181485086,
2014-04-04,0.9818519892350206,0.9417184449027216,,,0.9253401517914991,0.9062599953091662,0.9599252129792805,0.9625784189199893,0.9462790355229465,
2014-04-07,0.9664359835952837,0.9264410602770073,,,0.9178571754737616,0.9094538791033837,0.9517916051217136,0.9608884440740754,0.9388113579408708,
2014-04-08,0.9663807840437899,0.9535847008246507,,,0.938945577192952,0.9292558276789495,0.9815092436264662,0.9613714103402003,0.9551745906178348,
2014-04-09,0.9790824244467284,0.967404319875341,,,0.9685374484445143,0.996646454753217,0.9982869723052111,0.9770643673318319,0.9811703311928074,
2014-04-10,0.9664547049681893,0.9245458883508524,,,0.9277210872061408,0.9447461025989475,0.9624603697450584,0.9502656287324657,0.9460322969336088,
2014-04-11,0.9593093955906329,0.9088603751963724,,,0.8991496581488038,0.9346854029812424,0.9467389126657312,0.9466441416295047,0.9325646477020479,
